,Model,Year,KM,Sell_Price,IsaPro?,Number,Mean_Price_Argus,Exceed_Mean_Price,lat,long
57,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,11,18900,Pro,0422170191,17700.0,True,43.2926781,5.5676425
58,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,23000,15900,0,0.0,17700.0,False,44.428499,5.714983999999999
59,Renault Captur DIESEL 1.5 DCI 90 ZEN EDC,2014.0,10891,18990,Pro,0628436660,16200.0,True,44.559638,6.079758
60,Renault Captur ESSENCE 1.2 TCE 120 INTENS EDC,2013.0,16769,18400,Pro,0422170181,17800.0,True,43.13824,5.987584399999999
61,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,25155,16200,Pro,0422170191,16100.0,True,43.2926781,5.5676425
62,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,6012,17600,Pro,0422170107,16000.0,True,43.5603151,7.0337141
63,Renault Captur ESSENCE 1.2 TCE 120 ZEN EDC,2014.0,15,17890,Pro,0494505185,16000.0,True,43.5377269,6.464993
64,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,16527,16990,Pro,0422170093,16100.0,True,43.663739,7.14882
67,Renault Captur ESSENCE 1.2 TCE 120 INTENS EDC,2014.0,5,19590,Pro,0494197103,17800.0,True,43.435857,6.6317461
68,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,40849,14700,Pro,0422170199,16000.0,False,43.25424,5.3819969
69,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,3985,17900,Pro,0422170107,16000.0,True,43.5603151,7.0337141
70,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,3640,17900,Pro,0422170107,16000.0,True,43.5603151,7.0337141
74,Renault Captur ESSENCE INTENS,2013.0,9954,17400,Pro,0492533452,16650.0,True,44.559638,6.079758
75,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,13576,17990,Pro,0608929780,17700.0,True,43.4212739,5.218332
76,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,23259,16490,Pro,0490188023,16100.0,True,43.6017739,4.624375100000001
77,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,29632,15990,Pro,0628436660,16000.0,False,43.835744,5.790916
78,Renault Captur DIESEL INTENS,2013.0,28000,17990,0,0.0,17600.0,True,43.898503,4.803017
79,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S ZEN ECO2,2013.0,9500,14990,Pro,0486877981,14200.0,True,43.94700419999999,4.8209596
81,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10000,19300,Pro,0486802083,17700.0,True,43.45859799999999,5.249702999999999
83,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10000,18000,0,0.0,17700.0,True,43.43315200000001,6.737034
84,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,10,19780,Pro,0.0,17700.0,True,43.37687400000001,5.605345
85,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,11900,16900,Pro,0624646507,16000.0,True,43.94700419999999,4.8209596
86,Renault Captur ESSENCE 1.2 TCE 120 INTENS EDC,2014.0,1222,19900,Pro,0669509220,17800.0,True,43.43315200000001,6.737034
87,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,300,19990,Pro,0625620029,17700.0,True,43.598546,5.4847245
88,Renault Captur DIESEL ARIZONA ECO2,2014.0,9548,16500,Pro,0640226880,17700.0,False,44.0555639,5.048722
89,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,32020,14990,Pro,0625982919,16100.0,False,43.9591489,4.863830999999999
90,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,19279,16990,Pro,0634239821,17700.0,False,44.280508,4.748965999999999
91,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,9739,16100,Pro,0634239821,16100.0,False,44.280508,4.748965999999999
93,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,26808,16900,Pro,0422170107,17700.0,False,43.5603151,7.0337141
94,Renault Captur DIESEL ARIZONA ECO2,2013.0,29000,14900,0,0.0,17700.0,False,43.452497,5.864004
98,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,10,16700,Pro,0607135149,15500.0,True,44.1380989,4.807511
